regional ag commodity sources
scenario,region,sector,subsector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional beef,domestic beef,Beef,0.941071,1.39501,1.5848,1.55795,1.76856,2.00769,2.27874,2.58117,2.89259,3.20686,3.52078,3.69347,3.85135,3.99421,4.12288,4.23664,4.33352,4.41388,4.47813,4.52604,4.55859,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional beef,imported beef,traded beef,0.0070053,0.0117161,0.0075147,0.0020601,0.00275188,0.00389481,0.0056756,0.00812654,0.0112739,0.0152297,0.0200111,0.0231769,0.0261514,0.0288843,0.0313059,0.0333873,0.0351086,0.036448,0.0374178,0.0384907,0.03953,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional biomassOil,regional biomassOil,regional oilcrop,0.0,0.0,0.0,0.0,0.0171316,0.0333783,0.0585024,0.0897739,0.130676,0.180403,0.242174,0.315965,0.40846,0.524702,0.669509,0.843511,1.04268,1.26574,1.50506,1.75534,2.01281,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional corn,domestic corn,Corn,5.52318,8.3284,11.0414,14.7312,19.2122,22.7783,26.4748,30.1987,34.1253,38.0766,41.6977,43.8029,45.6224,47.2113,48.5909,49.7384,50.6248,51.2929,51.8397,52.2802,52.6602,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional corn,imported corn,traded corn,0.0154794,0.355096,0.63673,0.27661,0.449702,0.590453,0.762221,0.900826,1.04104,1.17037,1.28407,1.48246,1.70245,1.92399,2.16553,2.39251,2.58514,2.74855,2.89316,3.02291,3.14051,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional corn for ethanol,regional corn for ethanol,regional corn,0.0,0.0,0.0140399,0.0187124,2.99617,4.69186,6.38659,8.08996,10.0018,11.9663,13.643,14.4946,15.2201,15.8553,16.4377,16.9091,17.2366,17.467,17.7069,17.9584,18.2674,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional dairy,domestic dairy,Dairy,7.71171,14.1111,17.5121,19.3032,21.8331,24.6577,27.7997,31.2484,34.7498,38.215,41.6144,43.4755,45.1646,46.6845,48.0539,49.2659,50.2986,51.1606,51.8617,52.3689,52.7036,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional dairy,imported dairy,traded dairy,0.332193,0.393696,0.510209,0.417107,0.537203,0.70618,0.940533,1.24243,1.60001,2.02839,2.5178,2.85302,3.1712,3.46674,3.73004,3.95913,4.15127,4.30223,4.40673,4.50251,4.57842,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional fibercrop,domestic fibercrop,FiberCrop,0.412753,0.469213,0.382209,0.305505,0.321723,0.356899,0.393801,0.432515,0.471786,0.510749,0.5482,0.56821,0.584627,0.59788,0.608199,0.616315,0.62241,0.626334,0.628004,0.627723,0.625539,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional fibercrop,imported fibercrop,traded fibercrop,0.0,0.0,0.0237634,0.0844405,0.0938577,0.102455,0.112938,0.122598,0.13107,0.138989,0.149241,0.164543,0.180269,0.195781,0.210943,0.224878,0.237055,0.247646,0.256785,0.264504,0.270813,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional misccrop,domestic misccrop,MiscCrop,23.6573,33.6082,37.8342,38.4893,43.2769,48.708,54.6203,60.4633,66.3129,72.0908,77.7206,81.7013,85.2917,88.4959,91.3165,93.7569,95.7819,97.3924,98.5834,99.4095,99.8811,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional misccrop,imported misccrop,traded misccrop,0.0,0.0,0.0,0.479618,0.549113,0.619686,0.699526,0.777993,0.85741,0.936895,1.01652,1.08474,1.14922,1.20871,1.26299,1.31092,1.35142,1.38434,1.40946,1.42736,1.43799,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional oilcrop,domestic oilcrop,OilCrop,1.13308,2.37681,2.93214,2.46528,2.69468,3.04028,3.42044,3.78563,4.16334,4.54616,4.93749,5.20428,5.45852,5.70659,5.94151,6.17118,6.39241,6.60734,6.80923,6.99658,7.16719,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional oilcrop,imported oilcrop,traded oilcrop,0.0,0.0,0.0,0.282611,0.290958,0.321196,0.36381,0.425277,0.488387,0.548105,0.616309,0.704078,0.808511,0.92021,1.04966,1.18256,1.31171,1.43943,1.56635,1.69392,1.81973,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional othergrain,domestic othergrain,OtherGrain,8.11598,13.2582,14.2978,16.5121,18.4942,20.6683,22.9653,25.2898,27.5956,29.8406,31.9953,33.4047,34.6428,35.7207,36.6453,37.4274,38.0713,38.5753,38.9404,39.1831,39.3056,Mt,
"Reference,date=2020-21-10T21:21:20+17:00",Africa_Eastern,regional othergrain,imported othergrain,traded othergrain,0.0451077,0.388943,0.713523,0.423346,0.563659,0.725216,0.936724,1.08399,1.24027,1.40695,1.58208,1.85604,2.13891,2.42025,2.6971,2.95746,3.17972,3.36843,3.52353,3.64948,3.74863,Mt,
